"Gene","logFC","adj.P.Val"
"rhaD",3.04467942,5.03026758144688e-18
"galS",1.99028018454546,5.21089923579718e-18
"mglA",3.83497530571429,9.9818639054701e-17
"mglB",3.77555790322581,3.14242637630377e-16
"preA",1.52643095676471,6.72165517440611e-16
"insH11",1.0057929903125,6.88391993704763e-13
"lamB",3.57112027424242,1.97940548289431e-12
"mglC",2.9925571856,2.05648046046022e-12
"ucpA",1.50546416505714,8.210931631739e-11
"malG",2.64099808882353,1.79460785672603e-10
"ybcW",1.33489634314286,2.98597305019645e-10
"malK",3.2706301230303,3.93015070789276e-10
"nmpC",2.129923629,4.22476559833236e-10
"dppD",1.245789854,1.18021778359859e-09
"b2090",1.05313728485714,2.64959461745603e-09
"malM",2.77210830582857,7.20136476793478e-09
"dppC",1.06321059494286,9.04286119711959e-09
"malF",3.11869370636364,1.03181012670932e-08
"soxS",1.06427460182857,1.4130070389456e-08
"glpQ",1.75829315085714,1.61193501978892e-08
"glpT",2.13163113114286,5.03219399220862e-08
"lpxP",1.03054268222857,3.02143170495847e-07
"glcC",1.29249662228571,3.86153442689944e-07
"mhpR",1.2649178568125,5.67695769413615e-07
"glpB",1.45757442557143,1.28258148055079e-06
"fumA",1.30158521833333,2.46530037035661e-06
"sdhB",1.17679467963636,2.50998615588677e-06
"glpA",1.46480214154286,3.16003676336594e-06
"sdhA",1.14436678308571,4.20712258801327e-06
"malS",1.216931684,5.72686863400972e-06
"glpC",1.36294548948485,9.76502951749555e-06
"sdhC",1.03764552057143,2.30679448051796e-05
"sdhD",1.15351760223529,2.80256093643491e-05
"ftnB",1.09202042590625,4.32263639763151e-05
"fliH",1.067752574375,4.74754578540769e-05
"gudP",1.07197639176471,6.22508577707021e-05
"rutA",1.89929527944445,8.83791256194773e-05
"hcaR",1.01715641436364,0.000230658338353547
"fliI",1.023578497,0.000296021169010434
"amtB",1.30433517906061,0.000384503401831272
"fliE",1.0287833962,0.000433966369303677
"flhB",1.31993833210526,0.00174731307133302
"acs",1.53679995568182,0.00421035043709517
"mtfA",1.024727195,0.00539136487311264
"yjcH",1.4645924383871,0.00694869374982422
"actP",1.18773973605714,0.00971713877113084
